income;profession;publicprivate;value
61000-61999;Bibliotekarie;public;0,001637331
62000-62999;Bibliotekarie;public;0,001227998
63000-63999;Bibliotekarie;public;0
64000-64999;Bibliotekarie;public;0
65000-65999;Bibliotekarie;public;0
66000-66999;Bibliotekarie;public;0
67000-67999;Bibliotekarie;public;0
68000-68999;Bibliotekarie;public;0
69000-69999;Bibliotekarie;public;0
70000-70999;Bibliotekarie;public;0,000409333
71000-71999;Bibliotekarie;public;0
72000-72999;Bibliotekarie;public;0
73000-73999;Bibliotekarie;public;0
74000-74999;Bibliotekarie;public;0
75000-75999;Bibliotekarie;public;0
76000-76999;Bibliotekarie;public;0,000409333
77000-77999;Bibliotekarie;public;0
78000-78999;Bibliotekarie;public;0
79000-79999;Bibliotekarie;public;0,000409333
80000-;Bibliotekarie;public;0
-25999;Socionom;public;0,114313709
26000-26999;Socionom;public;0,076590185
27000-27999;Socionom;public;0,083938924
28000-28999;Socionom;public;0,093737242
29000-29999;Socionom;public;0,101575896
30000-30999;Socionom;public;0,101820854
31000-31999;Socionom;public;0,08197926
32000-32999;Socionom;public;0,07209929
33000-33999;Socionom;public;0,055360496
34000-34999;Socionom;public;0,042132767
35000-35999;Socionom;public;0,027353638
36000-36999;Socionom;public;0,022944395
37000-37999;Socionom;public;0,016248877
38000-38999;Socionom;public;0,016003919
39000-39999;Socionom;public;0,013962603
40000-40999;Socionom;public;0,013391035
41000-41999;Socionom;public;0,010124929
42000-42999;Socionom;public;0,009063444
43000-43999;Socionom;public;0,005715685
44000-44999;Socionom;public;0,006532212
45000-45999;Socionom;public;0,004899159
46000-46999;Socionom;public;0,002939495
47000-47999;Socionom;public;0,002939495
48000-48999;Socionom;public;0,002449579
49000-49999;Socionom;public;0,002286274
50000-50999;Socionom;public;0,002449579
51000-51999;Socionom;public;0,001796358
52000-52999;Socionom;public;0,0015514
53000-53999;Socionom;public;0,000979832
54000-54999;Socionom;public;0,0015514
55000-55999;Socionom;public;0,000653221
56000-56999;Socionom;public;0,00122479
57000-57999;Socionom;public;0,00122479
58000-58999;Socionom;public;0,000571569
59000-59999;Socionom;public;0,000816526
60000-60999;Socionom;public;0,000816526
61000-61999;Socionom;public;0,000571569
62000-62999;Socionom;public;0,000489916
63000-63999;Socionom;public;0,000489916
64000-64999;Socionom;public;0,000163305
65000-65999;Socionom;public;0,000571569
66000-66999;Socionom;public;0,000408263
67000-67999;Socionom;public;0,000489916
68000-68999;Socionom;public;8,17E-005
69000-69999;Socionom;public;0,000489916
70000-70999;Socionom;public;0,000244958
71000-71999;Socionom;public;0,000244958
72000-72999;Socionom;public;8,17E-005
73000-73999;Socionom;public;0,000244958
74000-74999;Socionom;public;8,17E-005
75000-75999;Socionom;public;0,000163305
76000-76999;Socionom;public;0,000163305
77000-77999;Socionom;public;8,17E-005
78000-78999;Socionom;public;0,000244958
79000-79999;Socionom;public;8,17E-005
80000-;Socionom;public;0,000571569
-25999;Socionom;private;0,088034188
26000-26999;Socionom;private;0,041025641
27000-27999;Socionom;private;0,051282051
28000-28999;Socionom;private;0,05982906
29000-29999;Socionom;private;0,060683761
30000-30999;Socionom;private;0,07008547
31000-31999;Socionom;private;0,065811966
32000-32999;Socionom;private;0,063247863
33000-33999;Socionom;private;0,069230769
34000-34999;Socionom;private;0,030769231
35000-35999;Socionom;private;0,058119658
36000-36999;Socionom;private;0,052991453
37000-37999;Socionom;private;0,04017094
