Befattning,Arbsektor,Andel,Lön
Enhetschef/gruppchef/ första linjens chef,Privat,"2,176377239",41000-41999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,675130356",42000-42999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,539106779",43000-43999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,561777375",44000-44999
Enhetschef/gruppchef/ första linjens chef,Privat,"3,105871684",45000-45999
Enhetschef/gruppchef/ första linjens chef,Privat,"3,377918839",46000-46999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,856495126",47000-47999
Enhetschef/gruppchef/ första linjens chef,Privat,"3,355248243",48000-48999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,584447971",49000-49999
Enhetschef/gruppchef/ första linjens chef,Privat,"3,922013149",50000-50999
Enhetschef/gruppchef/ första linjens chef,Privat,"3,808660168",51000-51999
Enhetschef/gruppchef/ första linjens chef,Privat,"3,536613013",52000-52999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,675130356",53000-53999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,65245976",54000-54999
Enhetschef/gruppchef/ första linjens chef,Privat,"3,85400136",55000-55999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,879165722",56000-56999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,267059624",57000-57999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,539106779",58000-58999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,199047835",59000-59999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,992518703",60000-60999
Enhetschef/gruppchef/ första linjens chef,Privat,"2,10836545",61000-61999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,92700068",62000-62999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,722965314",63000-63999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,790977103",64000-64999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,609612333",65000-65999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,133529812",66000-66999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,292223985",67000-67999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,473588755",68000-68999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,997506234",69000-69999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,38290637",70000-70999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,702788483",71000-71999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,156200408",72000-72999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,884153253",73000-73999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,838812061",74000-74999
Enhetschef/gruppchef/ första linjens chef,Privat,"1,020176831",75000-75999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,54409431",76000-76999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,54409431",77000-77999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,498753117",78000-78999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,385400136",79000-79999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,521423713",80000-80999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,294717751",81000-81999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,385400136",82000-82999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,340058944",83000-83999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,340058944",84000-84999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,204035366",85000-85999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,18136477",86000-86999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,204035366",87000-87999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,317388347",88000-88999
Enhetschef/gruppchef/ första linjens chef,Privat,"0,204035366",89000-89999
Enhetschef/gruppchef/ första linjens chef,Privat,"3,128542281",>=90000
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"2,386831276",<35000
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"1,234567901",35000-35999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"1,547325103",36000-36999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"1,827160494",37000-37999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"2,485596708",38000-38999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"3,259259259",39000-39999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"3,934156379",40000-40999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"4,411522634",41000-41999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"5,283950617",42000-42999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"5,497942387",43000-43999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"6,33744856",44000-44999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"6,33744856",45000-45999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"6,189300412",46000-46999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"6,172839506",47000-47999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"5,267489712",48000-48999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"4,773662551",49000-49999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"4,625514403",50000-50999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"3,226337449",51000-51999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"3,144032922",52000-52999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"2,765432099",53000-53999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"2,436213992",54000-54999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"2,271604938",55000-55999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"1,860082305",56000-56999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"1,711934156",57000-57999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"1,366255144",58000-58999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"1,119341564",59000-59999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"1,41563786",60000-60999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"1,152263374",61000-61999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"0,872427984",62000-62999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"0,790123457",63000-63999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"0,592592593",64000-64999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"0,510288066",65000-65999
Enhetschef/gruppchef/ första linjens chef,Offentlig ,"3,193415638",>=66000
